Cuenta;Valor;Tipo mov.
162;Ac arrendamiento fin LP, p vin;Mayor
1623;Ac arrendamiento fin LP, e gr;Mayor
162300001;Ac arrendamiento fin LP, e gr;Auxiliar
1624;Ac arrendamiento fin LP, e as;Mayor
162400001;Ac arrendamiento fin LP, e as;Auxiliar
1625;Ac arrendamiento fin LP, o vin;Mayor
162500001;Ac arrendamiento fin LP, o vin;Auxiliar
163;Otras deudas LP con part vinc.;Mayor
1633;Otras deudas LP, emp gr;Mayor
163300001;Otras deudas LP, emp gr;Auxiliar
1634;Otras deudas LP, emp as;Mayor
163400001;Otras deudas LP, emp as;Auxiliar
1635;Otras deudas LP, otras p vinc;Mayor
163500001;Otras deudas LP, otras p vinc;Auxiliar
17;Deudas LP préstamos y otros;Mayor
170;Deudas a largo entidades cdto.;Mayor
1700;Deudas a largo entidades cdto.;Mayor
170000001;Deudas a largo entidades cdto.;Auxiliar
171;Deudas a largo plazo;Mayor
1710;Deudas a largo plazo Adm. Púb.;Mayor
171000001;Deudas a largo plazo Adm. Púb.;Auxiliar
172;Transformables en subvenciones;Mayor
173;Prov. inmovilizado a LP;Mayor
174;Acreedores por arrend fin a LP;Mayor
175;Efectos a pagar LP;Mayor
176;Pasivos por derv. fin LP;Mayor
1765;Pas. der. fin. LP, cartera neg;Mayor
176500001;Pas. der. fin. LP, cartera neg;Auxiliar
1768;Pas. der. fin. LP, inst cob;Mayor
176800001;Pas. der. fin. LP, inst cob;Auxiliar
177;Obligaciones y bonos;Mayor
178;Obligaciones y bonos convert.;Mayor
179;Deudas otros valores negoc.;Mayor
18;Finanzas y garantías a LP;Mayor
180;Fianzas recibidas a LP;Mayor
181;Anticipos rec vta o p serv LP;Mayor
185;Depósitos recibidos a LP;Mayor
189;Garantías financieras a LP;Mayor
19;Situaciones transitorias;Mayor
190;Acciones o participac emitidas;Mayor
192;Suscriptores de acciones;Mayor
194;Capital soc., socied en formac;Mayor
1940;Capital soc., socied en formac;Mayor
194000001;Capital soc., socied en formac;Auxiliar
195;Capital soc., socied en formac;Mayor
197;Capital soc., socied en formac;Mayor
199;Capital soc., socied en formac;Mayor
2;Inmovilizado;Mayor
20;Inmovilizaciones intangibles;Mayor
200;Investigación y desarrollo;Mayor
2000;Investigación;Mayor
200000001;Investigación;Auxiliar
201;Desarrollo;Mayor
2010;Desarrollo;Mayor
201000001;Desarrollo;Auxiliar
202;Concesiones administrativas;Mayor
2020;Concesiones administrativas;Mayor
202000001;Concesiones administrativas;Auxiliar
203;Propiedad industrial;Mayor
2030;Propiedad industrial;Mayor
203000001;Propiedad industrial;Auxiliar
204;Fondo de comercio;Mayor
205;Derechos de traspaso;Mayor
206;Aplicaciones informáticas;Mayor
2060;Aplicaciones informáticas;Mayor
206000001;Aplicaciones informáticas;Auxiliar
